Rank,Player,Signed Age,Yrs,Value,AAV,Sign Bonus,Season,Position
1,Andrea Bargnani,24,5,50000000,10000000,0-,2010,C
2,Kendrick Perkins,25,5,39252656,7850531,0-,2010,C
3,Amir Johnson,22,5,30000000,6000000,0-,2010,C
4,Samardo Samuels,20,3,23000000,7666667,0-,2010,C
5,Mehmet Okur,-,2,20800000,10400000,0-,2010,C
6,Derrick Favors,18,4,19338156,4834539,0-,2010,C
7,Joel Anthony,27,5,18250000,3650000,0-,2010,C
8,Marcus Camby,35,2,17709750,8854875,0-,2010,C
9,DeMarcus Cousins,19,4,15800133,3950033,0-,2010,C
10,Brad Miller,0,3,15000000,5000000,0-,2010,C
11,Brendan Haywood,30,2,14524500,7262250,0-,2010,C
12,Ekpe Udoh,22,4,14354428,3588607,0-,2010,C
13,Matt Bonner,30,4,13890000,3472500,0-,2010,C
14,Greg Monroe,19,4,13110094,3277524,0-,2010,C
15,Nikola Pekovic,24,3,12960000,4320000,0-,2010,C
16,Jermaine O,31,2,11991000,5995500,0-,2010,C
17,Timofey Mozgov,23,3,10051421,3350474,0-,2010,C
18,Johan Petro,24,3,10000000,3333333,0-,2010,C
19,Ed Davis,20,4,9343100,2335775,0-,2010,C
20,Larry Sanders,21,4,8639008,2159752,0-,2010,C
21,Cole Aldrich,21,3,6858000,2286000,0-,2010,C
22,Ben Wallace,-,2,4320000,2160000,0-,2010,C
23,Omer Asik,23,2,3578500,1789250,0-,2010,C
24,Zydrunas Ilgauskas,-,2,2751688,1375844,0-,2010,C
24,Shaquille O,37,2,2751688,1375844,0-,2010,C
26,Aaron Gray,25,2,2187075,1093538,0-,2010,C
27,Daniel Orton,19,2,2125920,1062960,0-,2010,C
28,Dexter Pittman,22,3,2090188,696729,0-,2010,C
29,Ian Mahinmi,23,2,1646488,823244,0-,2010,C
30,Solomon Alabi,22,2,1600000,800000,0-,2010,C
31,Hassan Whiteside,20,2,1492632,746316,0-,2010,C
32,Hamady N,22,1,1437476,1437476,0-,2010,C
33,Jason Collins,22,1,1352181,1352181,0-,2010,C
33,Theo Ratliff,-,1,1352181,1352181,0-,2010,C
35,Magnum Rolle,24,2,1272195,636098,0-,2010,C
36,Garrett Siler,-,2,1262510,631255,0-,2010,C
37,Semih Erden,23,2,1262476,631238,0-,2010,C
38,Jamaal Magloire,-,1,1229255,1229255,0-,2010,C
38,Kwame Brown,28,1,1229255,1229255,0-,2010,C
40,Melvin Ely,34,1,1223166,1223166,0-,2010,C
40,Etan Thomas,-,1,1223166,1223166,0-,2010,C
42,Francisco Elson,-,1,1146337,1146337,0-,2010,C
43,Kyrylo Fesenko,23,1,1087500,1087500,0-,2010,C
44,Hilton Armstrong,25,1,992680,992680,0-,2010,C
45,Shelden Williams,0,1,915852,915852,0-,2010,C
46,Trent Plaisted,25,1,473604,473604,0-,2010,C
1,Nene Hilario,28,5,65000000,13000000,0-,2011,C
2,Al Horford,24,5,60000000,12000000,0-,2011,C
2,Joakim Noah,25,5,60000000,12000000,0-,2011,C
4,Marc Gasol,26,4,57503764,14375941,0-,2011,C
5,Pau Gasol,30,3,57000000,19000000,0-,2011,C
6,Tyson Chandler,29,4,55409450,13852363,0-,2011,C
7,DeAndre Jordan,23,4,43039054,10759764,0-,2011,C
8,Enes Freedom,18,4,18652514,4663129,0-,2011,C
9,Tristan Thompson,19,4,16821270,4205318,0-,2011,C
10,Samuel Dalembert,25,2,13698565,6849283,0-,2011,C
11,Bismack Biyombo,18,4,12645278,3161320,0-,2011,C
12,Nikola Vucevic,20,4,7909700,1977425,0-,2011,C
13,Kwame Brown,29,1,6750000,6750000,0-,2011,C
14,Nazr Mohammed,33,1,3750000,3750000,0-,2011,C
15,Jeff Foster,-,1,3000000,3000000,0-,2011,C
16,Aaron Gray,27,1,2500000,2500000,0-,2011,C
17,Greg Smith,21,3,2120092,706697,0-,2011,C
17,Greg Smith,21,3,2120092,706697,0-,2011,C
19,Greg Oden,23,1,1500000,1500000,0-,2011,C
20,Jamaal Magloire,0,1,1352181,1352181,0-,2011,C
20,Jason Collins,22,1,1352181,1352181,0-,2011,C
22,Hamed Haddadi,26,1,1300000,1300000,0-,2011,C
23,Eddy Curry,-,1,1229255,1229255,0-,2011,C
24,Shelden Williams,-,1,992680,992680,0-,2011,C
25,Francisco Elson,0,1,897646,897646,0-,2011,C
26,Magnum Rolle,24,2,797230,398615,0-,2011,C
27,Greg Stiemsma,25,1,762195,762195,0-,2011,C
28,Joel Przybilla,32,1,655616,655616,0-,2011,C
29,Jerome Jordan,24,1,473604,473604,0-,2011,C
29,Vernon Macklin,25,1,473604,473604,0-,2011,C
29,Luke Zeller,25,1,473604,473604,0-,2011,C
32,Kyrylo Fesenko,24,1,435000,435000,0-,2011,C
33,Boris Diaw,28,1,345248,345248,0-,2011,C
34,Ryan Hollins,26,1,248048,248048,0-,2011,C
35,Dan Gadzuric,34,1,69393,69393,0-,2011,C
1,Brook Lopez,24,4,60825938,15206485,0-,2012,C
1,Kevin Love,23,4,60825938,15206485,0-,2012,C
3,Roy Hibbert,25,4,58443748,14610937,0-,2012,C
4,JaVale McGee,24,4,44000000,11000000,0-,2012,C
5,Omer Asik,26,3,25123938,8374646,0-,2012,C
6,Andray Blatche,25,3,23384762,7794921,0-,2012,C
7,Anthony Davis,19,4,23198010,5799503,0-,2012,C
8,Brendan Haywood,32,4,16836188,4209047,0-,2012,C
9,Ian Mahinmi,25,4,16000000,4000000,0-,2012,C
10,Robin Lopez,24,3,15359283,5119761,0-,2012,C
11,Jonas Valanciunas,19,4,15239922,3809981,0-,2012,C
12,Marcus Camby,38,3,13151319,4383773,0-,2012,C
13,Andre Drummond,18,4,10659170,2664793,0-,2012,C
14,Meyers Leonard,19,4,9742479,2435620,0-,2012,C
15,Boris Diaw,30,2,9202500,4601250,0-,2012,C
16,Kosta Koufos,22,3,9000000,3000000,0-,2012,C
17,Chris Kaman,30,1,8000000,8000000,0-,2012,C
18,Tyler Zeller,21,4,7517295,1879324,0-,2012,C
19,Jordan Hill,24,2,7000000,3500000,0-,2012,C
20,Kwame Brown,30,2,5764945,2882473,0-,2012,C
21,Miles Plumlee,23,4,5473973,1368493,0-,2012,C
22,Aaron Gray,27,2,5265875,2632938,0-,2012,C
22,Greg Stiemsma,26,2,5265875,2632938,0-,2012,C
24,Festus Ezeli,22,4,5209508,1302377,0-,2012,C
25,Hasheem Thabeet,25,3,3650000,1216667,0-,2012,C
26,Vyacheslav Kravtsov,24,2,3000000,1500000,0-,2012,C
27,Daniel Orton,22,3,2751572,917191,0-,2012,C
28,Hamed Haddadi,27,2,2697500,1348750,0-,2012,C
29,Fab Melo,22,2,2565960,1282980,0-,2012,C
30,Kyle O,22,3,2492987,830996,0-,2012,C
31,Michael Eric,24,3,2177719,725906,0-,2012,C
32,Tim Ohlbrecht,24,3,1848982,616327,0-,2012,C
33,Daniel Orton,21,2,1770488,885244,0-,2012,C
34,Nazr Mohammed,34,1,1352181,1352181,0-,2012,C
34,Jermaine O,33,1,1352181,1352181,0-,2012,C
34,Dan Gadzuric,33,1,1352181,1352181,0-,2012,C
34,Eddy Curry,0,1,1352181,1352181,0-,2012,C
34,Joel Przybilla,32,1,1352181,1352181,0-,2012,C
34,Jason Collins,22,1,1352181,1352181,0-,2012,C
40,Jamaal Magloire,0,1,1325181,1325181,0-,2012,C
41,Bernard James,27,2,1262476,631238,0-,2012,C
41,Henry Sims,22,2,1262476,631238,0-,2012,C
43,Melvin Ely,34,1,1223166,1223166,0-,2012,C
44,Ronny Turiaf,29,1,1146337,1146337,0-,2012,C
44,Andray Blatche,26,1,1146337,1146337,0-,2012,C
46,Dwayne Jones,29,2,1112781,556391,0-,2012,C
47,Ryan Hollins,27,1,1069509,1069509,0-,2012,C
48,Aron Baynes,26,2,1028460,514230,0-,2012,C
49,Solomon Alabi,24,1,854389,854389,0-,2012,C
49,Hamady N,25,1,854389,854389,0-,2012,C
51,Willie Reed,22,2,791658,395829,0-,2012,C
52,Jerome Jordan,25,1,762195,762195,0-,2012,C
53,Robert Sacre,23,1,473604,473604,0-,2012,C
53,Greg Somogyi,22,1,473604,473604,0-,2012,C
53,Luke Nevill,26,1,473604,473604,0-,2012,C
53,Brian Butch,27,1,473604,473604,0-,2012,C
53,Michael Dunigan,23,1,473604,473604,0-,2012,C
53,Ronnie Aguilar,25,1,473604,473604,0-,2012,C
53,Phil Jones,27,1,473604,473604,0-,2012,C
53,Trent Plaisted,25,1,473604,473604,0-,2012,C
53,Luke Zeller,25,1,473604,473604,0-,2012,C
1,Blake Griffin,23,5,94538626,18907725,0-,2013,C
2,Dwight Howard,27,4,87591270,21897818,0-,2013,C
3,Nikola Pekovic,27,5,60000000,12000000,0-,2013,C
4,Serge Ibaka,23,4,49400000,12350000,0-,2013,C
5,Al Jefferson,27,3,40500000,13500000,0-,2013,C
6,Taj Gibson,27,4,33000000,8250000,0-,2013,C
7,Andrew Bynum,25,2,24790000,12395000,0-,2013,C
8,Cody Zeller,20,4,17410113,4352528,0-,2013,C
9,Alex Len,19,4,15773381,3943345,0-,2013,C
10,Zaza Pachulia,29,3,15600000,5200000,0-,2013,C
11,Nerlens Noel,18,4,14329730,3582433,0-,2013,C
12,Timofey Mozgov,26,3,14000000,4666667,0-,2013,C
13,Steven Adams,19,4,9695397,2423849,0-,2013,C
14,Samuel Dalembert,28,2,7568030,3784015,0-,2013,C
15,Gorgui Dieng,22,4,6589343,1647336,0-,2013,C
16,Mason Plumlee,22,4,6399770,1599943,0-,2013,C
17,Vitor Faverani,25,3,6180000,2060000,0-,2013,C
18,Rudy Gobert,20,4,5503368,1375842,0-,2013,C
19,Miroslav Raduljica,24,3,4567500,1522500,0-,2013,C
20,Chris Kaman,31,1,3183000,3183000,0-,2013,C
21,Ronny Turiaf,30,2,3000000,1500000,0-,2013,C
22,Daniel Orton,23,3,2997785,999262,0-,2013,C
23,Mike Muscala,21,4,2940925,735231,0-,2013,C
24,Solomon Alabi,25,3,2847877,949292,0-,2013,C
25,Andray Blatche,26,2,2813110,1406555,0-,2013,C
26,Robert Sacre,24,3,2685463,895154,0-,2013,C
27,Greg Stiemsma,27,1,2676000,2676000,0-,2013,C
28,Jordan Henriquez,23,3,2253938,751313,0-,2013,C
29,Dewayne Dedmon,24,3,2063758,687919,0-,2013,C
30,Jermaine O,34,1,2000000,2000000,0-,2013,C
31,Fab Melo,23,2,1704115,852058,0-,2013,C
31,Henry Sims,23,2,1704115,852058,0-,2013,C
33,Alexis Ajinca,25,2,1616964,808482,0-,2013,C
34,Dan Gadzuric,35,1,1399507,1399507,0-,2013,C
34,DeSagana Diop,31,1,1399507,1399507,0-,2013,C
34,Marcus Camby,39,1,1399507,1399507,0-,2013,C
34,Nazr Mohammed,35,1,1399507,1399507,0-,2013,C
38,Melvin Ely,35,2,1346597,673299,0-,2013,C
39,Ognjen Kuzmic,23,2,1306662,653331,0-,2013,C
39,Jeff Withey,23,2,1306662,653331,0-,2013,C
41,Melvin Ely,35,1,1265977,1265977,0-,2013,C
42,Ryan Hollins,28,1,1186459,1186459,0-,2013,C
43,Dwayne Jones,30,1,1106942,1106942,0-,2013,C
44,Hilton Armstrong,28,1,1027424,1027424,0-,2013,C
44,Greg Oden,25,1,1027424,1027424,0-,2013,C
46,Andrew Bynum,26,1,1000000,1000000,0-,2013,C
47,Greg Smith,23,2,963768,481884,0-,2013,C
48,DeJaun Blair,23,1,947907,947907,0-,2013,C
48,Patrick O,27,1,947907,947907,0-,2013,C
50,Cole Aldrich,24,1,916099,916099,0-,2013,C
51,Justin Hamilton,23,2,914518,457259,0-,2013,C
52,Dexter Pittman,25,1,884293,884293,0-,2013,C
52,Hamady N,26,1,884293,884293,0-,2013,C
54,Marcus Cousin,26,1,788872,788872,0-,2013,C
54,Bernard James,28,1,788872,788872,0-,2013,C
56,Hilton Armstrong,29,1,735751,735751,0-,2013,C
57,Justin Hamilton,23,1,490180,490180,0-,2013,C
57,Dewayne Dedmon,24,1,490180,490180,0-,2013,C
57,Eric Boateng,27,1,490180,490180,0-,2013,C
60,Dewayne Dedmon,24,1,432512,432512,0-,2013,C
61,Jason Collins,26,1,271669,271669,0-,2013,C
62,Willie Reed,23,1,102089,102089,0-,2013,C
63,Hilton Armstrong,28,1,42306,42306,0-,2013,C
64,Dexter Pittman,24,1,37722,37722,0-,2013,C
1,DeMarcus Cousins,23,4,65619700,16404925,0-,2014,C
2,Marcin Gortat,30,5,60000000,12000000,0-,2014,C
3,Derrick Favors,22,4,46950000,11737500,0-,2014,C
4,Larry Sanders,24,4,44000000,11000000,0-,2014,C
5,Andrew Bogut,28,3,36000000,12000000,0-,2014,C
6,Boris Diaw,32,4,28000000,7000000,0-,2014,C
7,Pau Gasol,34,3,22346280,7448760,0-,2014,C
8,Joel Embiid,20,4,19981026,4995257,0-,2014,C
9,Chris Kaman,32,2,9816000,4908000,0-,2014,C
10,Jordan Hill,26,1,9000000,9000000,0-,2014,C
11,Lucas Nogueira,21,4,8473305,2118326,0-,2014,C
11,Jusuf Nurkic,19,4,8473305,2118326,0-,2014,C
13,Clint Capela,19,4,6062688,1515672,0-,2014,C
14,DeJaun Blair,25,3,6000000,2000000,0-,2014,C
15,Greg Monroe,24,1,5479933,5479933,0-,2014,C
16,Aaron Gray,29,2,2584131,1292066,0-,2014,C
17,Ed Davis,25,2,2081686,1040843,0-,2014,C
18,Aron Baynes,27,1,2077000,2077000,0-,2014,C
19,Hassan Whiteside,25,2,1751229,875615,0-,2014,C
20,Nazr Mohammed,36,1,1448490,1448490,0-,2014,C
20,Matt Bonner,34,1,1448490,1448490,0-,2014,C
22,Dwight Powell,23,2,1352395,676198,0-,2014,C
22,Alex Kirk,22,2,1352395,676198,0-,2014,C
24,Khem Birch,21,2,1352385,676193,0-,2014,C
25,Ryan Hollins,29,1,1310286,1310286,0-,2014,C
26,DJ Mbenga,33,1,1227985,1227985,0-,2014,C
27,Kyrylo Fesenko,27,1,1063384,1063384,0-,2014,C
27,Hasheem Thabeet,27,1,1063384,1063384,0-,2014,C
29,Cole Aldrich,25,1,981084,981084,0-,2014,C
29,Ekpe Udoh,27,1,981084,981084,0-,2014,C
29,Greg Stiemsma,28,1,981084,981084,0-,2014,C
32,Daniel Orton,24,1,948163,948163,0-,2014,C
32,Dexter Pittman,26,1,948163,948163,0-,2014,C
32,Hamady N,27,1,948163,948163,0-,2014,C
35,Bernard James,29,1,915243,915243,0-,2014,C
35,Willie Reed,24,1,915243,915243,0-,2014,C
35,Hassan Whiteside,25,1,915243,915243,0-,2014,C
38,Jerome Jordan,27,1,816482,816482,0-,2014,C
38,Vernon Macklin,27,1,816482,816482,0-,2014,C
40,Hassan Whiteside,25,1,796800,796800,0-,2014,C
41,Michael Eric,26,1,507336,507336,0-,2014,C
41,Sim Bhullar,21,1,507336,507336,0-,2014,C
41,Brian Qvale,25,1,507336,507336,0-,2014,C
41,Jordan Vandenberg,24,1,507336,507336,0-,2014,C
45,Kendrick Perkins,30,1,434547,434547,0-,2014,C
46,Bernard James,30,1,236886,236886,0-,2014,C
1,Kevin Love,26,5,113211750,22642350,0-,2015,C
1,Marc Gasol,30,5,113211750,22642350,0-,2015,C
3,DeAndre Jordan,26,4,87616050,21904013,0-,2015,C
4,Tristan Thompson,24,5,82000000,16400000,0-,2015,C
5,Enes Freedom,23,4,70060026,17515007,0-,2015,C
6,Brook Lopez,27,3,63497025,21165675,0-,2015,C
7,Omer Asik,29,5,57977525,11595505,0-,2015,C
8,Robin Lopez,27,4,54015500,13503875,0-,2015,C
9,Nikola Vucevic,23,4,53000000,13250000,0-,2015,C
10,Tyson Chandler,32,4,52000000,13000000,0-,2015,C
11,Greg Monroe,25,3,51437513,17145838,0-,2015,C
12,Kosta Koufos,26,4,32879000,8219750,0-,2015,C
13,Anthony Towns,19,4,25720035,6430009,0-,2015,C
14,Amir Johnson,28,2,24000000,12000000,0-,2015,C
15,Alexis Ajinca,26,4,20200000,5050000,0-,2015,C
16,Ed Davis,26,3,20000000,6666667,0-,2015,C
17,Aron Baynes,28,3,19500000,6500000,0-,2015,C
18,Kyle O,25,4,16012500,4003125,0-,2015,C
19,Willie Cauley,21,4,15350475,3837619,0-,2015,C
20,Jahlil Okafor,19,3,14366640,4788880,0-,2015,C
21,Frank Kaminsky,21,4,11817962,2954491,0-,2015,C
22,Myles Turner,18,4,10801804,2700451,0-,2015,C
23,Tibor Pleiss,25,3,9000000,3000000,0-,2015,C
24,Bismack Biyombo,22,2,5754630,2877315,0-,2015,C
25,Richaun Holmes,21,4,5171902,1292976,0-,2015,C
26,Joel Anthony,32,2,5000000,2500000,0-,2015,C
27,Nikola Jokic,20,3,4075500,1358500,0-,2015,C
28,Jordan Hill,27,1,4000000,4000000,0-,2015,C
29,Kevon Looney,18,3,3548640,1182880,0-,2015,C
30,Montrezl Harrell,21,3,3135000,1045000,0-,2015,C
31,Walter Tavares,23,3,3014746,1004915,0-,2015,C
32,Andrea Bargnani,29,2,2914556,1457278,0-,2015,C
33,Sasha Kaun,30,2,2609420,1304710,0-,2015,C
34,Christian Wood,19,3,2414475,804825,0-,2015,C
34,Jarrid Famous,27,3,2414475,804825,0-,2015,C
34,Salah Mejri,29,3,2414475,804825,0-,2015,C
37,Cole Aldrich,26,2,2327888,1163944,0-,2015,C
38,Jeff Withey,25,2,1962972,981486,0-,2015,C
39,Kendrick Perkins,30,1,1499187,1499187,0-,2015,C
39,Samuel Dalembert,30,1,1499187,1499187,0-,2015,C
39,Matt Bonner,35,1,1499187,1499187,0-,2015,C
42,Robert Upshaw,20,2,1399729,699865,0-,2015,C
43,Ryan Hollins,30,1,1362897,1362897,0-,2015,C
44,JaVale McGee,27,1,1270964,1270964,0-,2015,C
45,Greg Smith,25,2,1270530,635265,0-,2015,C
46,Boban Marjanovic,26,1,1200000,1200000,0-,2015,C
47,Ryan Hollins,31,1,1082301,1082301,0-,2015,C
48,Greg Stiemsma,29,1,1015421,1015421,0-,2015,C
49,Oleksiy Pecherov,0,1,981348,981348,0-,2015,C
49,Henry Sims,25,1,981348,981348,0-,2015,C
51,Jerome Jordan,29,1,947276,947276,0-,2015,C
51,Willie Reed,25,1,947276,947276,0-,2015,C
53,Ryan Hollins,31,1,849806,849806,0-,2015,C
54,Keith Benson,27,1,845059,845059,0-,2015,C
55,Michael Dunigan,26,1,525093,525093,0-,2015,C
55,Jordan Railey,23,1,525093,525093,0-,2015,C
55,Mirza Begic,30,1,525093,525093,0-,2015,C
55,Jaleel Roberts,0,1,525093,525093,0-,2015,C
55,Nnanna Egwu,22,1,525093,525093,0-,2015,C
55,Jordan Bachynski,26,1,525093,525093,0-,2015,C
55,Chris Daniels,31,1,525093,525093,0-,2015,C
55,Joshua Smith,22,1,525093,525093,0-,2015,C
55,Kleon Penn,29,1,525093,525093,0-,2015,C
55,Jason Washburn,25,1,525093,525093,0-,2015,C
55,Michael Holyfield,22,1,525093,525093,0-,2015,C
55,Yanick Moreira,23,1,525093,525093,0-,2015,C
55,Youssou Ndoye,24,1,525093,525093,0-,2015,C
68,Nazr Mohammed,38,1,352750,352750,0-,2015,C
69,Ryan Hollins,31,1,344733,344733,0-,2015,C
70,Henry Sims,26,1,46181,46181,0-,2015,C
71,Christian Wood,20,1,21621,21621,0-,2015,C
1,Andre Drummond,22,5,127171313,25434263,0-,2016,C
1,Anthony Davis,22,5,127171313,25434263,0-,2016,C
3,Al Horford,30,4,113326228,28331557,0-,2016,C
4,Hassan Whiteside,27,4,98419538,24604885,0-,2016,C
5,Joakim Noah,31,4,72590000,18147500,0-,2016,C
6,Bismack Biyombo,23,4,72000000,18000000,0-,2016,C
7,Dwight Howard,30,3,70500000,23500000,0-,2016,C
8,Ian Mahinmi,29,4,64000000,16000000,0-,2016,C
8,Timofey Mozgov,29,4,64000000,16000000,0-,2016,C
8,Jonas Valanciunas,23,4,64000000,16000000,0-,2016,C
11,Miles Plumlee,27,4,50000000,12500000,0-,2016,C
12,Meyers Leonard,24,4,41000000,10250000,0-,2016,C
13,Dwight Powell,24,4,37268750,9317188,0-,2016,C
14,Pau Gasol,36,2,31697500,15848750,0-,2016,C
15,Al Jefferson,31,3,30000000,10000000,0-,2016,C
16,Cole Aldrich,27,3,21900000,7300000,0-,2016,C
17,Boban Marjanovic,27,3,21000000,7000000,0-,2016,C
18,Tyler Zeller,25,2,16000000,8000000,0-,2016,C
19,Festus Ezeli,26,2,15133000,7566500,0-,2016,C
20,Jakob Poeltl,20,4,12231806,3057952,0-,2016,C
21,Thon Maker,19,4,11622123,2905531,0-,2016,C
22,Georgios Papagiannis,19,4,10334366,2583592,0-,2016,C
23,Henry Ellenson,19,4,8199204,2049801,0-,2016,C
24,Jordan Hill,28,2,8180000,4090000,0-,2016,C
25,Damian Jones,21,4,6334179,1583545,0-,2016,C
26,Willy Hernangomez,21,4,6032436,1508109,0-,2016,C
27,Justin Hamilton,26,2,6000000,3000000,0-,2016,C
28,Dewayne Dedmon,26,2,5926410,2963205,0-,2016,C
29,Roy Hibbert,29,1,5000000,5000000,0-,2016,C
30,Deyonta Davis,19,3,3922842,1307614,0-,2016,C
31,Ivica Zubac,18,3,3892518,1297506,0-,2016,C
32,Walter Tavares,23,3,3077047,1025682,0-,2016,C
33,Stephen Zimmerman,19,3,2978250,992750,0-,2016,C
34,Zaza Pachulia,32,1,2898000,2898000,0-,2016,C
34,Nene Hilario,33,1,2898000,2898000,0-,2016,C
36,Originally signed,23,3,2605511,868504,0-,2016,C
37,Chinanu Onuaku,19,3,2498982,832994,0-,2016,C
38,Willie Reed,26,2,2103441,1051721,0-,2016,C
39,Christian Wood,20,2,1889382,944691,0-,2016,C
40,Diamond Stone,19,2,1448720,724360,0-,2016,C
40,Matt Costello,22,2,1448720,724360,0-,2016,C
40,Mike Tobey,21,2,1448720,724360,0-,2016,C
43,Joel Anthony,34,1,1410598,1410598,0-,2016,C
44,JaVale McGee,28,1,1403611,1403611,0-,2016,C
45,Greg Stiemsma,30,1,1050961,1050961,0-,2016,C
45,Robert Sacre,27,1,1050961,1050961,0-,2016,C
45,Henry Sims,26,1,1050961,1050961,0-,2016,C
48,Keith Benson,28,1,874636,874636,0-,2016,C
49,Alec Brown,0,1,543471,543471,0-,2016,C
49,Yanick Moreira,25,1,543471,543471,0-,2016,C
49,Jaleel Roberts,23,1,543471,543471,0-,2016,C
49,Matt Costello,23,1,543471,543471,0-,2016,C
49,Egidijus Mockevicius,23,1,543471,543471,0-,2016,C
49,Kaleb Tarczewski,23,1,543471,543471,0-,2016,C
49,NA,19,1,543471,543471,0-,2016,C
49,Jaleel Cousins,22,1,543471,543471,0-,2016,C
49,Vashil Fernandez,24,1,543471,543471,0-,2016,C
49,Mamadou N,23,1,543471,543471,0-,2016,C
59,Joel Anthony,34,1,497858,497858,0-,2016,C
60,Andrew Bogut,32,1,383351,383351,0-,2016,C
61,Larry Sanders,28,1,207722,207722,0-,2016,C
62,Prince Ibeh,22,1,28772,28772,0-,2016,C
1,Blake Griffin,28,5,171174820,34234964,0-,2017,C
2,Rudy Gobert,24,4,102000000,25500000,0-,2017,C
3,Steven Adams,23,4,100000000,25000000,0-,2017,C
4,Serge Ibaka,27,3,65000000,21666667,0-,2017,C
5,Gorgui Dieng,26,4,62800000,15700000,0-,2017,C
6,Cody Zeller,24,4,56000000,14000000,0-,2017,C
7,Pau Gasol,36,3,48000000,16000000,0-,2017,C
8,Mason Plumlee,27,3,41000000,13666667,0-,2017,C
9,Taj Gibson,32,2,28000000,14000000,0-,2017,C
10,Zach Collins,19,4,16332615,4083154,0-,2017,C
11,Dewayne Dedmon,27,2,14100000,7050000,0-,2017,C
12,Bam Adebayo,19,4,14015772,3503943,0-,2017,C
13,Justin Patton,20,4,12814166,3203542,0-,2017,C
14,Amir Johnson,30,1,11000000,11000000,0-,2017,C
15,Nene Hilario,34,3,10954440,3651480,0-,2017,C
16,Harry Giles,19,4,10621750,2655438,0-,2017,C
17,Jarrett Allen,19,4,10034582,2508646,0-,2017,C
18,Mike Muscala,26,2,10000000,5000000,0-,2017,C
19,Ante Zizic,20,4,9751975,2437994,0-,2017,C
20,Tony Bradley,19,4,8598860,2149715,0-,2017,C
21,Ekpe Udoh,29,2,6560000,3280000,0-,2017,C
22,Greg Monroe,27,1,5000000,5000000,0-,2017,C
23,Aron Baynes,30,1,4328000,4328000,0-,2017,C
24,Nerlens Noel,23,1,4187598,4187598,0-,2017,C
24,Alex Len,24,1,4187598,4187598,0-,2017,C
26,Ike Anigbogu,18,3,3946762,1315587,0-,2017,C
27,Tyler Zeller,27,2,3643479,1821740,0-,2017,C
28,Zaza Pachulia,33,1,3477600,3477600,0-,2017,C
29,Jeff Withey,27,2,3372245,1686123,0-,2017,C
30,Emeka Okafor,35,2,3037115,1518558,0-,2017,C
31,Diamond Stone,20,2,2857562,1428781,0-,2017,C
32,Kendrick Perkins,32,2,2386622,1193311,0-,2017,C
33,Andrew Bogut,32,1,2328652,2328652,0-,2017,C
33,Joel Anthony,35,1,2328652,2328652,0-,2017,C
33,Emeka Okafor,34,1,2328652,2328652,0-,2017,C
33,Kendrick Perkins,32,1,2328652,2328652,0-,2017,C
37,Khem Birch,24,2,2193857,1096929,0-,2017,C
37,Dakari Johnson,21,2,2193857,1096929,0-,2017,C
37,Jordan Bell,22,2,2193857,1096929,0-,2017,C
37,Thomas Bryant,19,2,2193857,1096929,0-,2017,C
37,Daniel Theis,25,2,2193857,1096929,0-,2017,C
42,JaVale McGee,29,1,2116955,2116955,0-,2017,C
43,Georgios Papagiannis,20,2,1730348,865174,0-,2017,C
44,Willie Reed,27,1,1577230,1577230,0-,2017,C
45,Stephen Zimmerman,20,1,1312611,1312611,0-,2017,C
46,Landry Nnoko,23,1,815615,815615,0-,2017,C
46,Amida Brimah,23,1,815615,815615,0-,2017,C
1,Nikola Jokic,23,5,147710050,29542010,0-,2018,C
1,Joel Embiid,23,5,147710050,29542010,0-,2018,C
3,Clint Capela,23,5,90000000,18000000,0-,2018,C
4,Jusuf Nurkic,23,4,48000000,12000000,0-,2018,C
5,Deandre Ayton,19,4,40379230,10094808,0-,2018,C
6,Derrick Favors,26,2,37600000,18800000,0-,2018,C
7,Mohamed Bamba,20,4,24100423,6025106,0-,2018,C
8,DeAndre Jordan,29,1,22897200,22897200,0-,2018,C
9,Carter Jr,19,4,22011467,5502867,0-,2018,C
10,Montrezl Harrell,24,2,12000000,6000000,0-,2018,C
11,Dwight Howard,32,2,10940850,5470425,0-,2018,C
12,Aron Baynes,31,2,10646880,5323440,0-,2018,C
13,Moritz Wagner,21,4,9881138,2470285,0-,2018,C
14,Williams III,20,4,9283856,2320964,0-,2018,C
15,Alex Len,25,2,8510000,4255000,0-,2018,C
16,DeMarcus Cousins,27,1,5337000,5337000,0-,2018,C
17,Mitchell Robinson,19,3,4709013,1569671,0-,2018,C
18,Kyle O,28,1,4449000,4449000,0-,2018,C
18,Ed Davis,29,1,4449000,4449000,0-,2018,C
20,Isaiah Hartenstein,19,3,3919177,1306392,0-,2018,C
20,Chimezie Metu,21,3,3919177,1306392,0-,2018,C
22,Nerlens Noel,24,2,3745548,1872774,0-,2018,C
23,Brook Lopez,30,1,3382000,3382000,0-,2018,C
24,Jahlil Okafor,22,2,3269493,1634747,0-,2018,C
25,Christian Wood,22,2,3157958,1578979,0-,2018,C
26,JaVale McGee,30,1,2393887,2393887,0-,2018,C
26,Amir Johnson,31,1,2393887,2393887,0-,2018,C
26,Zaza Pachulia,34,1,2393887,2393887,0-,2018,C
26,Emeka Okafor,35,1,2393887,2393887,0-,2018,C
30,Greg Monroe,28,1,2165481,2165481,0-,2018,C
30,Cole Aldrich,29,1,2165481,2165481,0-,2018,C
32,Tyson Chandler,36,1,2109867,2109867,0-,2018,C
